CountryCd	Year	CountryName	FieldEducation	Graduates	YoungAdults
IRL	2011	Ireland	Mathematics and statistics (ISC 46)	1138	1418000
IRL	2011	Ireland	Journalism and information (ISC 32)	181	1418000
IRL	2011	Ireland	Agriculture	354	1418000
IRL	2011	Ireland	Engineering and engineering trades (ISC 52)	1677	1418000
IRL	2011	Ireland	Transport services (ISC 84)	59	1418000
IRL	2011	Ireland	Engineering, manufacturing and construction	4236	1418000
IRL	2011	Ireland	Social and behavioural science (ISC 31)	2765	1418000
IRL	2011	Ireland	Architecture and building (ISC 58)	1787	1418000
IRL	2012	Ireland	Mathematics and statistics (ISC 46)	1439	1375500
IRL	2012	Ireland	Health and welfare	7344	1375500
IRL	2012	Ireland	Journalism and information (ISC 32)	3457	1375500
IRL	2012	Ireland	Environmental protection (ISC 85)	265	1375500
IRL	2012	Ireland	Computing (ISC 48)	1434	1375500
IRL	2012	Ireland	Transport services (ISC 84)	265	1375500
IRL	2012	Ireland	Life sciences (ISC 42)	1433	1375500
IRL	2012	Ireland	Architecture and building (ISC 58)	1355	1375500
IRL	2012	Ireland	Business and administration (ISC 34)	3461	1375500
IRL	2012	Ireland	Law (ISC 38)	3458	1375500
IRL	2012	Ireland	Education (ISC 14)	4853	1375500
IRL	2012	Ireland	Humanities and Arts	7599	1375500
IRL	2012	Ireland	Engineering, manufacturing and construction	4224	1375500
IRL	2012	Ireland	Engineering and engineering trades (ISC 52)	1550	1375500
IRL	2012	Ireland	Social and behavioural science (ISC 31)	3460	1375500
IRL	2012	Ireland	Agriculture	354	1375500
ISL	1998	Iceland	Journalism and information (ISC 32)	8	82461
ISL	1998	Iceland	Agriculture	0	82461
ISL	1998	Iceland	Environmental protection (ISC 85)	0	82461
ISL	1998	Iceland	Humanities and Arts	154	82461
ISL	1998	Iceland	Social and behavioural science (ISC 31)	118	82461
ISL	1998	Iceland	Education (ISC 14)	158	82461
ISL	1998	Iceland	Law (ISC 38)	65	82461
ISL	1998	Iceland	Engineering, manufacturing and construction	63	82461
ISL	1998	Iceland	Engineering and engineering trades (ISC 52)	33	82461
ISL	1998	Iceland	Business and administration (ISC 34)	191	82461
ISL	1998	Iceland	Health and welfare	173	82461
ISL	1998	Iceland	Transport services (ISC 84)	0	82461
ISL	1998	Iceland	Life sciences (ISC 42)	65	82461
ISL	1998	Iceland	Architecture and building (ISC 58)	14	82461
ISL	1998	Iceland	Computing (ISC 48)	29	82461
ISL	1998	Iceland	Mathematics and statistics (ISC 46)	6	82461
ISL	1999	Iceland	Transport services (ISC 84)	0	83184
ISL	1999	Iceland	Health and welfare	181	83184
ISL	1999	Iceland	Environmental protection (ISC 85)	0	83184
ISL	1999	Iceland	Journalism and information (ISC 32)	24	83184
ISL	1999	Iceland	Agriculture	14	83184
ISL	1999	Iceland	Education (ISC 14)	324	83184
ISL	1999	Iceland	Humanities and Arts	151	83184
ISL	1999	Iceland	Engineering and engineering trades (ISC 52)	45	83184
ISL	1999	Iceland	Social and behavioural science (ISC 31)	142	83184
ISL	1999	Iceland	Business and administration (ISC 34)	181	83184
ISL	1999	Iceland	Life sciences (ISC 42)	48	83184
ISL	1999	Iceland	Engineering, manufacturing and construction	67	83184
ISL	1999	Iceland	Computing (ISC 48)	25	83184
ISL	1999	Iceland	Architecture and building (ISC 58)	3	83184
ISL	1999	Iceland	Law (ISC 38)	77	83184
ISL	1999	Iceland	Mathematics and statistics (ISC 46)	6	83184
ISL	2000	Iceland	Agriculture	11	84292
ISL	2000	Iceland	Health and welfare	236	84292
ISL	2000	Iceland	Social and behavioural science (ISC 31)	131	84292
ISL	2000	Iceland	Environmental protection (ISC 85)	0	84292
ISL	2000	Iceland	Transport services (ISC 84)	0	84292
ISL	2000	Iceland	Humanities and Arts	201	84292
ISL	2000	Iceland	Engineering and engineering trades (ISC 52)	69	84292
ISL	2000	Iceland	Education (ISC 14)	382	84292
ISL	2000	Iceland	Journalism and information (ISC 32)	30	84292
ISL	2000	Iceland	Engineering, manufacturing and construction	110	84292
ISL	2000	Iceland	Life sciences (ISC 42)	75	84292
ISL	2000	Iceland	Architecture and building (ISC 58)	19	84292
ISL	2000	Iceland	Computing (ISC 48)	51	84292
ISL	2000	Iceland	Business and administration (ISC 34)	224	84292
ISL	2000	Iceland	Mathematics and statistics (ISC 46)	7	84292
ISL	2000	Iceland	Law (ISC 38)	53	84292
ISL	2001	Iceland	Agriculture	26	85195
ISL	2001	Iceland	Environmental protection (ISC 85)	0	85195
ISL	2001	Iceland	Transport services (ISC 84)	0	85195
ISL	2001	Iceland	Journalism and information (ISC 32)	28	85195
ISL	2001	Iceland	Engineering and engineering trades (ISC 52)	76	85195
ISL	2001	Iceland	Health and welfare	224	85195
ISL	2001	Iceland	Mathematics and statistics (ISC 46)	5	85195
ISL	2001	Iceland	Architecture and building (ISC 58)	26	85195
ISL	2001	Iceland	Life sciences (ISC 42)	76	85195
ISL	2001	Iceland	Computing (ISC 48)	67	85195
ISL	2001	Iceland	Education (ISC 14)	370	85195
ISL	2001	Iceland	Business and administration (ISC 34)	337	85195
ISL	2001	Iceland	Humanities and Arts	232	85195
ISL	2001	Iceland	Social and behavioural science (ISC 31)	161	85195
ISL	2001	Iceland	Engineering, manufacturing and construction	113	85195
ISL	2001	Iceland	Law (ISC 38)	56	85195
ISL	2002	Iceland	Transport services (ISC 84)	0	85324
ISL	2002	Iceland	Health and welfare	233	85324
ISL	2002	Iceland	Environmental protection (ISC 85)	0	85324
